day,month,year,Temperature,RH,Ws,Rain ,FFMC,DMC,DC,ISI,BUI,FWI,Classes  
28,02,2012,21,81,10,0,66.8,0.8,36.8,0.1,5.1,0.1,not fire
29,02,2012,21,81,10,0,66.8,0.8,36.8,0.1,5.1,0.1,not fire
01,03,2012,20,83,10,0,65.5,2.4,36.8,0.2,5.5,0.2,not fire
02,03,2012,20,84,11,0,64.8,2.2,36.8,0.2,5.3,0.2,not fire
03,03,2012,21,81,12,0,66.7,2.6,36.8,0.2,5.9,0.3,not fire
04,03,2012,22,77,14,0,69.7,3.1,36.8,0.3,6.6,0.4,not fire
05,03,2012,23,74,15,0,72.9,3.8,36.8,0.4,7.3,0.5,not fire
06,03,2012,24,71,16,0,75.8,4.5,36.8,0.6,8,0.7,not fire
07,03,2012,25,68,18,0,78.2,5.3,36.8,0.8,8.7,1,not fire
08,03,2012,26,65,20,0,80.3,6.2,36.8,1,9.4,1.3,not fire
09,03,2012,27,61,22,0,82,7.2,36.8,1.3,10,1.6,not fire
10,03,2012,28,57,23,0,83.5,8.1,36.8,1.5,10.5,1.8,not fire
11,03,2012,29,54,24,0,84.8,9.1,36.8,1.7,11,2.1,not fire
12,03,2012,30,51,25,0,86,10.1,36.8,1.9,11.4,2.3,not fire
13,03,2012,31,49,26,0,86.9,11.1,36.8,2,11.8,2.6,not fire
14,03,2012,32,46,27,0,87.7,12.1,36.8,2.2,12.1,2.8,not fire
15,03,2012,32,47,26,0,87.4,11.9,37.2,2.1,12.2,2.8,not fire
16,03,2012,33,45,27,0,88.1,12.8,37.6,2.3,12.6,3,not fire
17,03,2012,32,49,26,0,87.6,12.1,38.1,2.1,12.5,2.9,not fire
18,03,2012,31,51,27,0,86.7,11.2,38.6,1.9,12.2,2.7,not fire
19,03,2012,30,54,28,0,85.6,10.2,39.1,1.7,11.9,2.5,not fire
20,03,2012,29,57,28,0,84.3,9.1,39.6,1.5,11.4,2.2,not fire
21,03,2012,28,60,29,0,82.8,8.1,40.1,1.3,10.9,1.9,not fire
22,03,2012,27,63,29,0,81,6.9,40.5,1,10.2,1.5,not fire
23,03,2012,26,66,30,0,79.3,5.8,40.9,0.9,9.6,1.3,not fire
24,03,2012,25,69,29,0,76.8,4.7,41.3,0.7,8.9,1,not fire
25,03,2012,24,71,27,0,74.7,3.9,41.7,0.6,8.3,0.8,not fire
26,03,2012,23,74,26,0,72.9,3.2,42,0.5,7.8,0.6,not fire
27,03,2012,22,76,24,0,71.1,2.7,42.3,0.4,7.3,0.5,not fire
28,03,2012,22,78,22,0,70.3,2.3,42.6,0.3,7,0.4,not fire
29,03,2012,21,80,20,0,69.3,1.9,42.9,0.3,6.7,0.3,not fire
30,03,2012,21,81,18,0,68.6,1.7,43.2,0.2,6.5,0.3,not fire
31,03,2012,20,83,17,0,67.6,1.4,43.5,0.2,6.2,0.2,not fire
01,04,2012,20,84,16,0,69.4,3.2,43.8,0.3,7.2,0.4,not fire
02,04,2012,20,85,17,0,68.8,3,44.1,0.3,7.1,0.4,not fire
03,04,2012,21,83,18,0,69.7,3.4,44.4,0.4,7.4,0.5,not fire
04,04,2012,22,80,19,0,71.1,3.9,44.7,0.5,7.8,0.6,not fire
05,04,2012,23,77,20,0,72.7,4.5,45,0.6,8.2,0.7,not fire
06,04,2012,24,74,22,0,74.6,5.2,45.3,0.8,8.7,1,not fire
07,04,2012,25,71,23,0,76.5,6,45.6,1,9.2,1.2,not fire
08,04,2012,26,67,25,0,78.4,6.9,45.9,1.2,9.7,1.5,not fire
09,04,2012,27,63,27,0,80.2,7.9,46.2,1.4,10.2,1.7,not fire
10,04,2012,28,59,29,0,81.9,9,46.5,1.6,10.6,2,not fire
11,04,2012,29,56,30,0,83.4,10,46.8,1.8,11,2.2,not fire
12,04,2012,30,53,32,0,84.8,11.1,47.1,2,11.4,2.5,not fire
13,04,2012,31,50,33,0,85.9,12.1,47.3,2.1,11.7,2.7,not fire
14,04,2012,32,48,34,0,86.9,13.1,47.6,2.3,12.1,2.9,not fire
15,04,2012,32,46,35,0,87.6,14.1,47.9,2.5,12.5,3.1,not fire
16,04,2012,33,44,36,0,88.3,15.1,48.2,2.7,12.8,3.3,not fire
17,04,2012,33,43,37,0,88.8,16,48.5,2.8,13.1,3.5,not fire
18,04,2012,34,41,38,0,89.3,17,48.8,3,13.4,3.7,not fire
19,04,2012,34,41,39,0,89.7,17.9,49.1,3.1,13.7,3.9,not fire
20,04,2012,35,39,40,0,90.1,18.8,49.3,3.3,14,4,not fire
21,04,2012,35,39,41,0,90.4,19.7,49.6,3.4,14.2,4.2,not fire
22,04,2012,36,37,42,0,90.7,20.5,49.9,3.6,14.5,4.4,not fire
23,04,2012,36,36,43,0,91,21.3,50.2,3.7,14.7,4.5,not fire
24,04,2012,36,35,44,0,91.2,22.1,50.5,3.8,14.9,4.7,not fire
25,04,2012,37,34,45,0,91.4,22.9,50.8,4,15.1,4.8,not fire
26,04,2012,37,33,46,0,91.6,23.7,51.1,4.1,15.3,5,not fire
27,04,2012,37,32,47,0,91.8,24.5,51.4,4.2,15.5,5.1,not fire
28,04,2012,38,31,48,0,91.9,25.2,51.6,4.3,15.7,5.3,not fire
29,04,2012,38,31,49,0,92,25.9,51.9,4.4,15.8,5.4,not fire
30,04,2012,38,30,50,0,92.1,26.6,52.2,4.5,16,5.6,not fire
01,05,2012,23,83,13,0,82.6,4.1,45.3,0.6,8.2,0.7,not fire
02,05,2012,24,80,14,0,83.7,5.1,45.6,0.8,8.5,0.9,not fire
03,05,2012,25,77,16,0,84.9,6.2,45.9,1,8.8,1.1,not fire
04,05,2012,26,74,17,0,86,7.3,46.2,1.2,9.1,1.3,not fire
05,05,2012,27,71,19,0,87.1,8.4,46.5,1.4,9.4,1.5,not fire
06,05,2012,28,68,21,0,88.1,9.5,46.8,1.6,9.7,1.8,not fire
07,05,2012,29,65,22,0,89,10.6,47.1,1.8,10,2,not fire
08,05,2012,30,62,24,0,89.9,11.7,47.4,2,10.2,2.2,not fire
09,05,2012,31,60,25,0,90.6,12.7,47.7,2.1,10.5,2.4,not fire
10,05,2012,31,58,26,0,91.4,13.8,48,2.3,10.7,2.6,not fire
11,05,2012,32,56,27,0,92.1,14.8,48.3,2.5,10.9,2.8,not fire
12,05,2012,32,54,28,0,92.7,15.8,48.5,2.6,11.1,3,not fire
13,05,2012,33,53,29,0,93.3,16.8,48.8,2.8,11.3,3.1,not fire
14,05,2012,33,51,30,0,93.9,17.8,49.1,2.9,11.5,3.3,not fire
15,05,2012,34,50,31,0,94.4,18.8,49.4,3.1,11.7,3.5,not fire
16,05,2012,34,49,32,0,94.9,19.8,49.6,3.2,11.9,3.7,not fire
17,05,2012,34,48,32,0,95.3,20.8,49.9,3.3,12,3.8,not fire
18,05,2012,35,47,33,0,95.7,21.7,50.2,3.5,12.2,4,not fire
19,05,2012,35,46,34,0,96,22.7,50.5,3.6,12.3,4.1,not fire
20,05,2012,35,46,35,0,96.3,23.6,50.7,3.7,12.5,4.3,not fire
21,05,2012,36,45,35,0,96.6,24.5,51,3.8,12.6,4.4,not fire
22,05,2012,36,44,36,0,96.8,25.4,51.3,3.9,12.7,4.5,not fire
23,05,2012,36,44,36,0,97,26.3,51.6,4,12.9,4.7,not fire
24,05,2012,36,43,37,0,97.2,27.1,51.8,4.1,13,4.8,not fire
25,05,2012,36,43,37,0,97.3,27.9,52.1,4.2,13.1,4.9,not fire
26,05,2012,36,42,38,0,97.4,28.7,52.4,4.3,13.2,5,not fire
27,05,2012,36,42,38,0,97.5,29.5,52.7,4.4,13.3,5.1,not fire
28,05,2012,36,41,39,0,97.6,30.3,53,4.5,13.4,5.2,not fire
29,05,2012,36,41,39,0,97.6,31,53.3,4.5,13.5,5.3,not fire
30,05,2012,36,41,40,0,97.7,31.7,53.6,4.6,13.6,5.4,not fire
31,05,2012,36,40,40,0,97.8,32.4,53.9,4.7,13.7,5.5,not fire
01,06,2012,29,57,18,0,65.7,3.4,7.6,1.3,3.4,0.5,not fire   
02,06,2012,29,61,13,1.3,64.4,4.1,7.6,1,3.9,0.4,not fire   
03,06,2012,26,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,not fire   
04,06,2012,25,89,13,2.5,28.6,1.3,6.9,0,1.7,0,not fire   
05,06,2012,27,77,16,0,64.8,3,14.2,1.2,3.9,0.5,not fire   
06,06,2012,31,67,14,0,82.6,5.8,22.2,3.1,7,2.5,fire   
07,06,2012,33,54,13,0,88.2,9.9,30.5,6.4,10.9,7.2,fire   
08,06,2012,30,73,15,0,86.6,12.1,38.3,5.6,13.5,7.1,fire   
09,06,2012,25,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,not fire   
10,06,2012,28,79,12,0,73.2,9.5,46.3,1.3,12.6,0.9,not fire   
11,06,2012,31,65,14,0,84.5,12.5,54.3,4,15.8,5.6,fire   
12,06,2012,26,81,19,0,84,13.8,61.4,4.8,17.7,7.1 ,fire   
13,06,2012,27,84,21,1.2,50,6.7,17,0.5,6.7,0.2,not fire   
14,06,2012,30,78,20,0.5,59,4.6,7.8,1,4.4,0.4,not fire   
15,06,2012,28,80,17,3.1,49.4,3,7.4,0.4,3,0.1,not fire   
16,06,2012,29,89,13,0.7,36.1,1.7,7.6,0,2.2,0,not fire   
17,06,2012,30,89,16,0.6,37.3,1.1,7.8,0,1.6,0,not fire   
18,06,2012,31,78,14,0.3,56.9,1.9,8,0.7,2.4,0.2,not fire   
19,06,2012,31,55,16,0.1,79.9,4.5,16,2.5,5.3,1.4,not fire   
20,06,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,not fire   
21,06,2012,30,78,14,0,81,6.3,31.6,2.6,8.4,2.2,fire   
22,06,2012,31,67,17,0.1,79.1,7,39.5,2.4,9.7,2.3,not fire   
23,06,2012,32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,fire   
24,06,2012,32,66,17,0,85.9,11.2,55.8,5.6,14.9,7.5,fire   
25,06,2012,31,64,15,0,86.7,14.2,63.8,5.7,18.3,8.4,fire   
26,06,2012,31,64,18,0,86.8,17.8,71.8,6.7,21.6,10.6,fire   
27,06,2012,34,53,18,0,89,21.6,80.3,9.2,25.8,15,fire   
28,06,2012,32,55,14,0,89.1,25.5,88.5,7.6,29.7,13.9,fire   
29,06,2012,32,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,not fire   
30,06,2012,33,50,14,0,88.7,22.9,92.8,7.2,28.3,12.9,fire   
01,07,2012,29,68,19,1,59.9,2.5,8.6,1.1,2.9,0.4,not fire   
02,07,2012,27,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,not fire   
03,07,2012,32,76,20,0.7,63.1,2.6,9.2,1.3,3,0.5,not fire   
04,07,2012,33,78,17,0,80.1,4.6,18.5,2.7,5.7,1.7,not fire   
05,07,2012,33,66,14,0,85.9,7.6,27.9,4.8,9.1,4.9,fire   
06,07,2012,32,63,14,0,87,10.9,37,5.6,12.5,6.8,fire   
07,07,2012,35,64,18,0.2,80,9.7,40.4,2.8,12.1,3.2,not fire   
08,07,2012,33,68,19,0,85.6,12.5,49.8,6,15.4,8,fire   
09,07,2012,32,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,not fire   
10,07,2012,33,69,13,0.7,66.6,6,9.3,1.1,5.8,0.5,not fire   
11,07,2012,33,76,14,0,81.1,8.1,18.7,2.6,8.1,2.2,not fire   
12,07,2012,31,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,not fire   
13,07,2012,34,81,15,0,81.8,9.7,37.2,3,11.7,3.4,not fire   
14,07,2012,34,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,not fire   
15,07,2012,30,80,19,0.4,60.7,5.2,17,1.1,5.9,0.5,not fire   
16,07,2012,28,76,21,0,72.6,7,25.5,0.7,8.3,0.4,not fire   
17,07,2012,29,70,14,0,82.8,9.4,34.1,3.2,11.1,3.6,fire   
18,07,2012,31,68,14,0,85.4,12.1,43.1,4.6,14.2,6,fire   
19,07,2012,35,59,17,0,88.1,12,52.8,7.7,18.2,10.9,fire   
20,07,2012,33,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4,fire   
21,07,2012,33,70,17,0,85.4,18.5,71.5,5.2,22.4,8.8,fire   
22,07,2012,28,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,not fire   
23,07,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,not fire   
24,07,2012,28,78,16,0.1,70,9.6,79.7,1.4,14.7,1.3,not fire   
25,07,2012,31,65,18,0,84.3,12.5,88.7,4.8,18.5,7.3,fire   
26,07,2012,36,53,19,0,89.2,17.1,98.6,10,23.9,15.3,fire   
27,07,2012,36,48,13,0,90.3,22.2,108.5,8.7,29.4,15.3,fire   
28,07,2012,33,76,15,0,86.5,24.4,117.8,5.6,32.1,11.3,fire   
29,07,2012,32,73,15,0,86.6,26.7,127,5.6,35,11.9,fire   
30,07,2012,31,79,15,0,85.4,28.5,136,4.7,37.4,10.7,fire   
31,07,2012,35,64,17,0,87.2,31.9,145.7,6.8,41.2,15.7,fire   
01,08,2012,36,45,14,0,78.8,4.8,10.2,2,4.7,0.9,not fire   
02,08,2012,35,55,12,0.4,78,5.8,10,1.7,5.5,0.8,not fire   
03,08,2012,35,63,14,0.3,76.6,5.7,10,1.7,5.5,0.8,not fire   
04,08,2012,34,69,13,0,85,8.2,19.8,4,8.2,3.9,fire   
05,08,2012,34,65,13,0,86.8,11.1,29.7,5.2,11.5,6.1,fire   
06,08,2012,32,75,14,0,86.4,13,39.1,5.2,14.2,6.8,fire   
07,08,2012,32,69,16,0,86.5,15.5,48.6,5.5,17.2,8,fire   
08,08,2012,32,60,18,0.3,77.1,11.3,47,2.2,14.1,2.6,not fire   
09,08,2012,35,59,17,0,87.4,14.8,57,6.9,17.9,9.9,fire   
10,08,2012,35,55,14,0,88.9,18.6,67,7.4,21.9,11.6,fire   
11,08,2012,35,63,13,0,88.9,21.7,77,7.1,25.5,12.1,fire   
12,08,2012,35,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,not fire   
13,08,2012,35,63,15,0,87,19,85.1,5.9,24.4,10.2,fire   
14,08,2012,33,66,14,0,87,21.7,94.7,5.7,27.2,10.6,fire   
15,08,2012,36,55,13,0.3,82.4,15.6,92.5,3.7,22,6.3,fire   
16,08,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,fire   
17,08,2012,37,52,18,0,89.3,16,100.7,9.7,22.9,14.6,fire   
18,08,2012,36,54,18,0,89.4,20,110.9,9.7,27.5,16.1,fire   
19,08,2012,35,62,19,0,89.4,23.2,120.9,9.7,31.3,17.2,fire   
20,08,2012,35,68,19,0,88.3,25.9,130.6,8.8,34.7,16.8,fire   
21,08,2012,36,58,19,0,88.6,29.6,141.1,9.2,38.8,18.4,fire   
22,08,2012,36,55,18,0,89.1,33.5,151.3,9.9,43.1,20.4,fire   
23,08,2012,36,53,16,0,89.5,37.6,161.5,10.4,47.5,22.3,fire
24,08,2012,34,64,14,0,88.9,40.5,171.3,9,50.9,20.9,fire   
25,08,2012,35,60,15,0,88.9,43.9,181.3,8.2,54.7,20.3,fire
26,08,2012,31,78,18,0,85.8,45.6,190.6,4.7,57.1,13.7,fire 
27,08,2012,33,82,21,0,84.9,47,200.2,4.4,59.3,13.2,fire
28,08,2012,34,64,16,0,89.4,50.2,210.4,7.3,62.9,19.9,fire 
29,08,2012,35,48,18,0,90.1,54.2,220.4,12.5,67.4,30.2,fire   
30,08,2012,35,70,17,0.8,72.7,25.2,180.4,1.7,37.4,4.2,not fire   
31,08,2012,28,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,not fire
01,09,2012,25,76,17,7.2,46,1.3,7.5,0.2,1.8,0.1,not fire 
02,09,2012,22,86,15,10.1,30.5,0.7,7,0,1.1,0,not fire
03,09,2012,25,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0,not fire   
04,09,2012,29,73,17,0.1,68.4,1.9,15.7,1.4,2.9,0.5,not fire   
05,09,2012,29,75,16,0,80.8,3.4,24,2.8,5.1,1.7,fire   
06,09,2012,29,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,not fire   
07,09,2012,31,71,17,0.3,69.6,3.2,30.1,1.5,5.1,0.6,not fire   
08,09,2012,30,73,17,0.9,62,2.6,8.4,1.1,3,0.4,not fire   
09,09,2012,30,77,15,1,56.1,2.1,8.4,0.7,2.6,0.2,not fire   
10,09,2012,33,73,12,1.8,59.9,2.2,8.9,0.7,2.7,0.3,not fire   
11,09,2012,30,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3,not fire   
12,09,2012,29,88,13,0,71,2.6,16.6,1.2,3.7,0.5,not fire   
13,09,2012,25,86,21,4.6,40.9,1.3,7.5,0.1,1.8,0,not fire   
14,09,2012,22,76,26,8.3,47.4,1.1,7,0.4,1.6,0.1,not fire   
15,09,2012,24,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0,not fire   
16,09,2012,30,65,14,0,78.1,3.2,15.7,1.9,4.2,0.8,not fire   
17,09,2012,31,52,14,0,87.7,6.4,24.3,6.2,7.7,5.9,fire   
18,09,2012,32,49,11,0,89.4,9.8,33.1,6.8,11.3,7.7,fire   
19,09,2012,29,57,14,0,89.3,12.5,41.3,7.8,14.2,9.7,fire   
20,09,2012,28,84,18,0,83.8,13.5,49.3,4.5,16,6.3,fire
21,09,2012,31,55,11,0,87.8,16.5,57.9,5.4,19.2,8.3,fire   
22,09,2012,31,50,19,0.6,77.8,10.6,41.4,2.4,12.9,2.8,not fire   
23,09,2012,32,54,11,0.5,73.7,7.9,30.4,1.2,9.6,0.7,not fire   
24,09,2012,29,65,19,0.6,68.3,5.5,15.2,1.5,5.8,0.7,not fire   
25,09,2012,26,81,21,5.8,48.6,3,7.7,0.4,3,0.1,not fire   
26,09,2012,31,54,11,0,82,6,16.3,2.5,6.2,1.7,not fire   
27,09,2012,31,66,11,0,85.7,8.3,24.9,4,9,4.1,fire   
28,09,2012,32,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,not fire   
29,09,2012,26,80,16,1.8,47.4,2.9,7.7,0.3,3,0.1,not fire   
30,09,2012,25,78,14,1.4,45,1.9,7.5,0.2,2.4,0.1,not fire
01,10,2012,29,56,14,0,89.4,12.1,73.3,4.5,26.1,7,not fire
02,10,2012,28,59,13,0,87.8,8.4,71.8,3.4,20.3,5.1,not fire
03,10,2012,29,54,15,0,89.5,13.8,73.4,5.3,27.4,7.7,not fire
04,10,2012,28,57,16,0,88,9.3,71.4,4,21.8,5.6,not fire
05,10,2012,29,54,15,0,89.5,14.7,73.5,5.8,28.2,8,not fire
06,10,2012,29,54,16,0,89.5,15.8,73.7,6.2,29.9,8.5,not fire
07,10,2012,30,50,16,0,91.1,18.3,74,7.3,34.3,10,not fire
08,10,2012,30,52,17,0,90.8,17.3,73.8,6.8,32.1,9.3,not fire
09,10,2012,31,48,18,0,92.1,19.6,74.1,7.8,37,10.6,not fire
10,10,2012,31,49,19,0,91.9,19,73.9,7.6,35.4,10.1,not fire
11,10,2012,31,48,20,0,91.9,19,73.9,7.6,35.4,10.1,not fire
12,10,2012,31,49,20,0,92.4,20.5,74.2,8,39.3,11.1,not fire
13,10,2012,31,50,21,0,92.4,20.6,74.2,8.1,39.5,11.2,not fire
14,10,2012,31,50,21,0,92.5,21.6,74.4,8.3,40.9,11.6,not fire
15,10,2012,31,51,21,0,92.5,22.7,74.6,8.6,42.3,12,not fire
16,10,2012,31,52,22,0,92.5,23.8,74.7,8.8,43.7,12.4,not fire
17,10,2012,31,52,23,0,92.5,24.9,74.9,9,45,12.7,not fire
18,10,2012,30,56,23,0,91.4,22.2,74.7,7.5,40.4,10.9,not fire
19,10,2012,30,56,24,0,91.5,23.1,75,7.7,41.7,11.3,not fire
20,10,2012,30,58,25,0,91.5,24.1,75.2,7.9,42.9,11.7,not fire
21,10,2012,30,57,25,0,91.5,25,75.4,8.1,44.2,12,not fire
22,10,2012,30,59,26,0,91.5,25.9,75.6,8.3,45.5,12.4,not fire
23,10,2012,30,60,27,0,91.5,26.8,75.8,8.5,46.8,12.8,not fire
24,10,2012,30,61,28,0,91.5,27.7,76,8.6,48.1,13.1,not fire
25,10,2012,29,66,28,0,89.9,23.7,75.8,6.7,42.6,10.9,not fire
26,10,2012,29,66,29,0,90.1,24.6,76,6.9,43.9,11.3,not fire
27,10,2012,29,67,30,0,90.2,25.5,76.2,7.1,45.2,11.7,not fire
28,10,2012,29,67,30,0,90.3,26.3,76.4,7.3,46.5,12.1,not fire
29,10,2012,29,68,31,0,90.4,27.2,76.6,7.5,47.8,12.4,not fire
30,10,2012,29,69,31,0,90.4,28.1,76.8,7.7,49.1,12.8,not fire
31,10,2012,29,70,32,0,90.5,29,77,7.9,50.3,13.1,not fire
01,11,2012,28,68,17,0,90.2,28.9,76.7,7.6,50,13,not fire
02,11,2012,28,69,18,0,90.3,29.7,76.9,7.8,51.2,13.3,not fire
03,11,2012,28,70,19,0,90.4,30.6,77.1,8,52.4,13.7,not fire
04,11,2012,28,71,20,0,90.5,31.5,77.3,8.2,53.6,14,not fire
05,11,2012,28,72,21,0,90.6,32.4,77.5,8.4,54.8,14.4,not fire
06,11,2012,28,73,22,0,90.7,33.3,77.7,8.6,56,14.7,not fire
07,11,2012,28,73,23,0,90.8,34.1,77.9,8.8,57.2,15.1,not fire
08,11,2012,28,74,24,0,90.9,35,78.1,9,58.4,15.4,not fire
09,11,2012,28,75,25,0,91,35.9,78.3,9.2,59.6,15.8,not fire
10,11,2012,28,75,26,0,91.1,36.8,78.5,9.4,60.8,16.1,not fire
11,11,2012,28,76,27,0,91.2,37.7,78.7,9.6,62,16.5,not fire
12,11,2012,28,77,28,0,91.3,38.5,78.9,9.8,63.2,16.8,not fire
13,11,2012,28,77,29,0,91.4,39.4,79.1,10,64.4,17.2,not fire
14,11,2012,28,78,30,0,91.5,40.3,79.3,10.2,65.6,17.5,not fire
15,11,2012,28,79,31,0,91.6,41.2,79.5,10.4,66.8,17.9,not fire
16,11,2012,28,80,32,0,91.7,42,79.7,10.6,68,18.2,not fire
17,11,2012,28,80,33,0,91.8,42.9,79.9,10.8,69.2,18.6,not fire
18,11,2012,28,81,34,0,91.9,43.8,80.1,11,70.4,18.9,not fire
19,11,2012,28,82,35,0,92,44.7,80.3,11.2,71.6,19.3,not fire
20,11,2012,28,82,36,0,92.1,45.5,80.5,11.4,72.8,19.6,not fire
21,11,2012,28,83,37,0,92.2,46.4,80.7,11.6,74,20,not fire
22,11,2012,28,84,38,0,92.3,47.3,80.9,11.8,75.2,20.3,not fire
23,11,2012,28,84,39,0,92.4,48.2,81.1,12,76.4,20.7,not fire
24,11,2012,28,85,40,0,92.5,49.1,81.3,12.2,77.6,21,not fire
